ProgramType,ActivityCode,GranteeStatus,BHCMISId,grantnumber,BPHCAssignedSiteNumber,SiteName,SiteType,TemporarySiteFlag,SiteStatus,SiteTerminatedDate,SiteLocation,LocationSetting,SiteOpenedDate,SiteEffectiveDate,SiteOperationalByDate,SitePhysicalAddress,PhysicalCongressionalDistrict,ServiceAreaZipCodes,OperatingMonths,TotalWeeklyHoursOfOperation,SiteOperatedBy,NoOfVoucherSites,NoOfIntermittentSites,MedicaidBillingNumber,PhysicalMailStopCode,PhysicalDivisionLine,PhysicalStreetNumber,PhysicalStreetAddress,PhysicalPostOfficeBoxNumber,PhysicalRuralRouteNumber,SitePhysicalCity,SiteState,SiteRegion,SitePhysicalRegion,PhysicalZipCode,PhysicalZip4Code,PhysicalCounty,OrganizationStreetAddress,OrganizationCity,OrganizationState,OrganizationZipCode,OrganizationZip4Code,SiteMailingAddress,MailingMailStopCode,MailingDivisionLine,MailingStreetNumber,MailingStreetAddress,MailingUnit,MailingPostOfficeBoxNumber,MailingRuralRouteNumber,MailingCity,MailingState,MailingZipCode,MailingZip4Code,MailingCongressionalDistrict,OrganizationName,OperatingOrgPhysicalAddress,OperatingOrgMailingAddress,OperatingOrgEIN,ProjectDirector,PDPhone,PDPhoneExtension,PDEmail,SitePhoneExtension,SitePhoneNumber,SiteAdminPhone,SiteAdminPhoneExtension,RelatedARRAGrantsFlag,RelatedARRAGrants,RelatedACAGrantsFlag,RelatedACAGrants,NationalProviderIdentificationNumber,MedicareBillingNumber,MedicareBillingNumberStatus,HRSAAssignedSiteNumber,CalendarSchedule,OperationalSchedule,PopulationType,MedicaidPharmacyBillingNumber,SiteFaxNumber,DUNS,ServiceAreaCensusTracts
Section 330,H80,Inactive,5.00E+193,H80CS26570,BPS-H80-013077,St. Joseph County Health Center,Service Delivery Site,No,Terminated,1/25/16,Permanent,All Other Clinic Types,12/1/13,11/1/13,2/26/14,"677 E Main St, Centreville, MI 49032-8524",MI-06,"49,030,490,324,904,000,000,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,Pending,NULL,NULL,NULL,677 E Main St,NULL,NULL,Centreville,MI,Region V,Region V,49032,8524,St. Joseph,677 E MAIN ST STE A,CENTREVILLE,MI,49032,8525,"677 E. Main Street, Centreville, MI 49032",NULL,NULL,677,E. Main Street, ,NULL,NULL,Centreville,MI,49032,NULL,NULL,Community Mental Health Services of St Joseph County,NULL,NULL,NULL,Elizabeth  ODell,(269)-467-1000,308,eodell@stjoecmh.org,NULL,(269)-467-1000,(269)-467-1001,315,No,N/A,Yes,H80CS26570(Created),1780014449,231022,This site has a Medicare billing number,23321,Year-Round,Full-Time,Rural,N/A,(269)-467-3075,617303250,"40,100,040,200,040,300,000,000,000,000"
Section 330,H80,Inactive,32930,H80CS00588,BPS-H80-000938,"WEINBERG Center for Behavioral Health, Pharmacy and Dental Services",Service Delivery Site,No,Terminated,1/25/16,Permanent,All Other Clinic Types,9/1/98,9/1/98,9/1/98,"3011 Greenmount Ave, Baltimore, MD 21218-3939",MD-07,"2,120,221,210,212,110,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,910561100,,,NULL,3011 Greenmount Ave,NULL,NULL,Baltimore,MD,Region III,Region III,21218,3939,Baltimore City,2524 Kirk Ave Fl 2,Baltimore,MD,21218,4826,"2524 Kirk Ave, Baltimore, MD 21218-4826",,,2524,Kirk Ave, ,,,Baltimore,MD,21218,4826,MD-07,"Peoples Community Health Center Inc,The",NULL,NULL,NULL,NULL,NULL,,NULL,,(410)-467-6040,(410)-235-8801,2015,No,N/A,No,N/A,,,This site is neither permanent nor seasonal per CMS,7907,Year-Round,Full-Time,Urban,4049969,(410)-467-2421,78301124,"1201,1202,1203,1204,1205,1206,2709.03,2710.01,2711.01,2711.02,801.01,805,901,902,903,904,905,906,907,908,909"
Section 330,H80,Inactive,32930,H80CS00588,BPS-H80-002808,YORKWOOD FAMILY HEALTH CENTER,Service Delivery Site,No,Terminated,1/25/16,Permanent,All Other Clinic Types,5/1/99,5/1/99,5/1/99,"5225 York Rd, Baltimore, MD 21212-4256",MD-07,"2,120,421,206,212,120,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",20,Health Center/Applicant,,NULL,910561101,,,NULL,5225 York Rd,NULL,NULL,Baltimore,MD,Region III,Region III,21212,4256,Baltimore City,2524 Kirk Ave Fl 2,Baltimore,MD,21218,4826,"5225 York Rd, Baltimore, MD 21212-4256",NULL,NULL,5225,York Rd, ,NULL,NULL,Baltimore,MD,21212,4256,MD-03,"Peoples Community Health Center Inc,The",NULL,NULL,NULL,NULL,NULL,,NULL,,(410)-467-6040,(410)-467-6040,2018,No,N/A,No,N/A,,211837,This site has a Medicare billing number,4962,Year-Round,Full-Time,Urban,4049969,(410)-467-5944,78301124,"2701.01,2701.02,2702,2703.01,2703.02,2706,2707.01,2707.02,2707.03,2708.01,2708.02,2708.03,2708.04,2708.05,2709.01,2709.02,2710.02,2711.01"
Section 330,H80,Inactive,32930,H80CS00588,BPS-H80-002952,OPEN GATES HEALTH CENTER,Service Delivery Site,No,Terminated,1/25/16,Permanent,All Other Clinic Types,11/1/04,11/1/04,11/1/04,"1111 Washington Blvd, Baltimore, MD 21230-1824",MD-03,"2,120,221,223,212,250,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,910561102,,,NULL,1111 Washington Blvd,NULL,NULL,Baltimore,MD,Region III,Region III,21230,1824,Baltimore City,2524 Kirk Ave Fl 2,Baltimore,MD,21218,4826,"2524 Kirk Ave, Baltimore, MD 21218-4826",,,2524,Kirk Ave, ,,,Baltimore,MD,21218,4826,MD-07,"Peoples Community Health Center Inc,The",NULL,NULL,NULL,NULL,NULL,,NULL,,(410)-467-6040,(410)-235-8801,2015,Yes,C81CS13853(Used),No,N/A,,211853,This site has a Medicare billing number,9333,Year-Round,Full-Time,Urban,4049969,(410)-738-0569,78301124,"1802,1901,1902,1903,2001,2002,2003,2004,2005,2006,2101,2102,2301,2302,2303,2401,2402,2403,2404,2502.05,2502.06,2503.01,2503.02,2503.03"
Section 330,H80,Inactive,32930,H80CS00588,BPS-H80-003043,ANNE ARUNDEL FAMILY HEALTH,Service Delivery Site,No,Terminated,1/25/16,Permanent,All Other Clinic Types,11/1/00,11/1/00,11/1/00,"5517 Ritchie Hwy, Brooklyn, MD 21225-3457",MD-02,"21,060,210,612,107,600,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",44,Health Center/Applicant,,NULL,910561106,,,NULL,5517 Ritchie Hwy,NULL,NULL,Brooklyn,MD,Region III,Region III,21225,3457,Anne Arundel,2524 Kirk Ave Fl 2,Baltimore,MD,21218,4826,"2524 Kirk Ave, Baltimore, MD 21218-4826",,,2524,Kirk Ave, ,,,Baltimore,MD,21218,4826,MD-07,"Peoples Community Health Center Inc,The",NULL,NULL,NULL,NULL,NULL,,NULL,,(410)-467-6040,(410)-235-8801,,Yes,C81CS13853(Used),No,N/A,,211836,This site has a Medicare billing number,7866,Year-Round,Full-Time,Urban,4049969,(410)-636-8708,78301124,"7301,7302.03,7302.04,7303,7304.01,7304.02,7305.02,7305.03,7501.01,7501.02,7502.01,7502.02,7502.03,7503,7504,7505,7506,7507,7508.01,7508.03,7508.04,7509,7510,7511.02,7511.03"
Section 330,H80,Inactive,32930,H80CS00588,BPS-H80-003715,JACK BARTH FAMILY HEALTH CENTER,Service Delivery Site,No,Terminated,1/25/16,Permanent,All Other Clinic Types,5/1/70,7/1/94,5/1/70,"3028 Greenmount Ave, Baltimore, MD 21218-3938",MD-07,"212,022,121,021,211,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",44,Health Center/Applicant,,NULL,910561100,,,NULL,3028 Greenmount Ave,NULL,NULL,Baltimore,MD,Region III,Region III,21218,3938,Baltimore City,2524 Kirk Ave Fl 2,Baltimore,MD,21218,4826,"3028 Greenmount Ave, Baltimore, MD 21218-3938",NULL,NULL,3028,Greenmount Ave, ,NULL,NULL,Baltimore,MD,21218,3938,MD-07,"Peoples Community Health Center Inc,The",NULL,NULL,NULL,NULL,NULL,,NULL,2105,(410)-467-6040,(410)-235-8801,2015,No,N/A,No,N/A,,211820,This site has a Medicare billing number,5185,Year-Round,Full-Time,Urban,4049969,(410)-235-8982,78301124,"1201,1202,1203,1204,1205,1206,2709.03,2710.01,2711.01,2711.02,801.01,805,901,902,903,904,905,906,907,908,909"
Section 330,H80,Inactive,32930,H80CS00588,BPS-H80-009152,People's at HERO,Service Delivery Site,No,Terminated,1/25/16,Permanent,All Other Clinic Types,4/15/09,10/28/09,4/15/09,"1734 Maryland Ave, Baltimore, MD 21201-5804",MD-07,"2,120,121,202","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",20,Health Center/Applicant,,NULL,910560011,NULL,NULL,NULL,1734 Maryland Ave,NULL,NULL,Baltimore,MD,Region III,Region III,21201,5804,Baltimore City,2524 Kirk Ave Fl 2,Baltimore,MD,21218,4826,"1734 Maryland Ave, Baltimore, MD 21201-5804",NULL,NULL,1734,Maryland Ave, ,NULL,NULL,Baltimore,MD,21201,5804,MD-07,"Peoples Community Health Center Inc,The",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,(410)-467-6040,(410)-467-6040,2018,No,N/A,No,N/A,,211856,This site has a Medicare billing number,12732,Year-Round,Full-Time,Urban,2127327,(410)-467-5944,78301124,1102
Section 330,H80,Inactive,32930,H80CS00588,BPS-H80-010463,People's Health at Women's Housing Coalition,Service Delivery Site,No,Terminated,1/25/16,Permanent,Domestic Violence,10/1/10,3/31/11,3/31/11,"Baltimore, MD 21202",MD-07,21202,"April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",8,Health Center/Applicant,,NULL,91056,NULL,NULL,NULL,,NULL,NULL,Baltimore,MD,Region III,Region III,21202,NULL,Baltimore City,2524 Kirk Ave Fl 2,Baltimore,MD,21218,4826,"2524 Kirk Avenue, Baltimore, MO      ",NULL,NULL,2524,Kirk Avenue, ,NULL,NULL,Baltimore,MO,NULL,NULL,NULL,"Peoples Community Health Center Inc,The",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,(410)-467-6040,(410)-467-6040,2018,No,N/A,No,N/A,,,This site is neither permanent nor seasonal per CMS,16249,Year-Round,Part-Time,Urban,404996900,(410)-467-5944,78301124,1102
Section 330,H80,Inactive,32930,H80CS00588,BPS-H80-010464,People's at Helping Up Mission,Service Delivery Site,No,Terminated,1/25/16,Permanent,All Other Clinic Types,7/1/05,3/31/11,2/2/11,"1017-1039 E. Baltimore Street, Baltimore, MD 21202",MD-07,21202,"April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",16,Health Center/Applicant,,NULL,91056,NULL,NULL,NULL,1017-1039 E. Baltimore Street,NULL,NULL,Baltimore,MD,Region III,Region III,21202,NULL,Baltimore City,2524 Kirk Ave Fl 2,Baltimore,MD,21218,4826,"2524 Kirk Avenue, Baltimore, MD 21218",NULL,NULL,2524,Kirk Avenue, ,NULL,NULL,Baltimore,MD,21218,NULL,NULL,"Peoples Community Health Center Inc,The",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,(410)-467-6040,(410)-467-6040,2008,No,N/A,No,N/A,,,This site is neither permanent nor seasonal per CMS,16251,Year-Round,Part-Time,Urban,404996900,(410)-467-5944,78301124,302
Section 330,H80,Inactive,32930,H80CS00588,BPS-H80-010465,Odenton Health Center,Service Delivery Site,No,Terminated,1/25/16,Permanent,All Other Clinic Types,8/2/10,3/31/11,2/2/11,"1370 Odenton Rd, Odenton, MD 21113-1503",MD-03,"207,012,072,420,755,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,applied for,NULL,NULL,NULL,1370 Odenton Rd,NULL,NULL,Odenton,MD,Region III,Region III,21113,1503,Anne Arundel,2524 Kirk Ave Fl 2,Baltimore,MD,21218,4826,"2524 Kirk Avenue, Baltimore, MD 21218",NULL,NULL,2524,Kirk Avenue, ,NULL,NULL,Baltimore,MD,21218,NULL,NULL,"Peoples Community Health Center Inc,The",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,(410)-467-6040,(410)-467-6040,2018,No,N/A,No,N/A,,,Number is pending; application for this site has been submitted to CMS,15357,Year-Round,Full-Time,Urban,applied for,(410)-467-5944,78301124,NULL
Section 330,H80,Inactive,32930,H80CS00588,BPS-H80-010564,People's Health at Mosaic,Service Delivery Site,No,Terminated,1/25/16,Permanent,All Other Clinic Types,7/1/09,5/24/11,7/1/11,"2225 N Charles St, Baltimore, MD 21218-5778",MD-07,21218,"April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",16,Health Center/Applicant,,NULL,91056,NULL,NULL,NULL,2225 N Charles St,NULL,NULL,Baltimore,MD,Region III,Region III,21218,5778,Baltimore City,2524 Kirk Ave Fl 2,Baltimore,MD,21218,4826,"2524 Kirk Avenue, Baltimore, MD 21218",NULL,NULL,2524,Kirk Avenue, ,NULL,NULL,Baltimore,MD,21218,NULL,NULL,"Peoples Community Health Center Inc,The",NULL,NULL,NULL,NULL,NULL,,NULL,NULL,(410)-467-6040,(410)-467-6040,2018,No,N/A,No,N/A,,,This site is neither permanent nor seasonal per CMS,16248,Year-Round,Part-Time,Urban,404996900,(410)-467-5944,78301124,1206
Section 330,H80,Inactive,44470,H80CS00819,BPS-H80-002230,LEAKESVILLE DENTAL CLINIC,Service Delivery Site,No,Terminated,1/25/17,Permanent,All Other Clinic Types,1/1/78,1/1/78,1/1/78,"1614 WILLIAMS DR, LEAKESVILLE, MS 39451",MS-04,"365,393,936,239,367,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",24,Health Center/Applicant,,NULL,0,,,NULL,1614 WILLIAMS DR,NULL,NULL,LEAKESVILLE,MS,Region IV,Region IV,39451,NULL,Greene,1616 WILLIAMS DR,LEAKESVILLE,MS,39451,5622,"Post Office Box 160, Leakesville, MS 39451-0160",NULL,NULL,NULL,NULL, ,160,NULL,Leakesville,MS,39451,160,MS-04,GREENE AREA MEDICAL EXTENDERS,NULL,NULL,NULL,Angel  Greer,(228)-374-2424,,angel_greer@coastalfamilyhealth.org,,(601)-394-2640,(601)-394-2866,,No,N/A,No,N/A,,,Health center does not/will not bill under the FQHC Medicare system at this site,10990,Year-Round,Full-Time,Rural,0,(601)-394-4662,26518969,"95,019,502"
Section 330,H80,Inactive,44470,H80CS00819,BPS-H80-003292,"GREENE AREA MEDICAL EXTENDERS, INC.",Service Delivery Site,No,Terminated,1/25/17,Permanent,All Other Clinic Types,1/3/82,1/3/82,1/3/82,"1616 Williams Dr, Leakesville, MS 39451-5622",MS-04,"365,393,936,239,367,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,0,,,NULL,1616 Williams Dr,NULL,NULL,Leakesville,MS,Region IV,Region IV,39451,5622,Greene,1616 WILLIAMS DR,LEAKESVILLE,MS,39451,5622,"Post Office Box 160, LEAKESVILLE, MS 39451-0160",NULL,NULL,NULL,NULL, ,160,NULL,LEAKESVILLE,MS,39451,160,MS-04,GREENE AREA MEDICAL EXTENDERS,NULL,NULL,NULL,Angel  Greer,(228)-374-2424,,angel_greer@coastalfamilyhealth.org,,(601)-394-2381,(601)-394-2866,,Yes,C81CS13568(Used),No,N/A,1801999479,251822,This site has a Medicare billing number,5453,Year-Round,Full-Time,Rural,0,(601)-394-2593,26518969,"95,019,502"
Section 330,H80,Inactive,44470,H80CS00819,BPS-H80-003041,School Health Services-Leakesville Elementary School Clinic,Service Delivery Site,No,Terminated,1/25/17,Seasonal,School,1/1/99,1/1/99,1/1/99,"175 Annex Rd, Leakesville, MS 39451-9602",MS-04,"365,393,936,239,367,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,March - March,May - May,November - November,October - October,September - September",16,Health Center/Applicant,,NULL,N/A,,,NULL,175 Annex Rd,NULL,NULL,Leakesville,MS,Region IV,Region IV,39451,9602,Greene,1616 WILLIAMS DR,LEAKESVILLE,MS,39451,5622,"Post Office Box 160, Leakesville, MS 39451-0160",NULL,NULL,NULL,NULL, ,160,NULL,Leakesville,MS,39451,160,MS-04,GREENE AREA MEDICAL EXTENDERS,NULL,NULL,NULL,Angel  Greer,(228)-374-2424,,angel_greer@coastalfamilyhealth.org,NULL,(601)-394-5093,(601)-394-2866,NULL,No,N/A,No,N/A,1700979960,251925,This site has a Medicare billing number,6195,Year-Round,Full-Time,Rural,N/A,(601)-394-6061,26518969,NULL
Section 330,H80,Inactive,44470,H80CS00819,BPS-H80-008933,State Line Medical Center,Service Delivery Site,No,Terminated,3/29/13,Permanent,All Other Clinic Types,3/15/11,6/29/09,3/15/11,"195 Main Street, State Line, MS 39362",MS-04,"365,393,936,239,367,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",34,Health Center/Applicant,,NULL,pending,NULL,NULL,NULL,195 Main Street,NULL,NULL,State Line,MS,Region IV,Region IV,39362,NULL,GREENE                   ,1616 WILLIAMS DR,LEAKESVILLE,MS,39451,5622,"Post Office Box 160, Leakesville, MS 39451-0160",NULL,NULL,NULL,NULL, ,160,NULL,Leakesville,MS,39451,160,MS-04,GREENE AREA MEDICAL EXTENDERS,NULL,NULL,NULL,Angel  Greer,(228)-374-2424,,angel_greer@coastalfamilyhealth.org,NULL,(601)-848-7912,(601)-394-5714,NULL,Yes,C81CS13568(Created),No,N/A,NULL,pending,NULL,13672,Year-Round,Full-Time,Rural,pending,(601)-848-7462,26518969,"95,019,502"
Section 330,H80,Inactive,44470,H80CS00819,BPS-H80-004570,School Health Services-McLain Attendance Center Clinic,Service Delivery Site,No,Terminated,1/25/17,Permanent,School,1/9/00,1/9/00,1/9/00,"300 Shows St, Mc Lain, MS 39456",MS-04,"365,393,936,239,367,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",16,Health Center/Applicant,,NULL,0,,,NULL,300 Shows St,NULL,NULL,Mc Lain,MS,Region IV,Region IV,39456,    ,Greene,1616 WILLIAMS DR,LEAKESVILLE,MS,39451,5622,"Post Office Box 160, LEAKESVILLE, MS 39451-0160",NULL,NULL,NULL,NULL, ,160,NULL,LEAKESVILLE,MS,39451,160,MS-04,GREENE AREA MEDICAL EXTENDERS,NULL,NULL,NULL,Angel  Greer,(228)-374-2424,,angel_greer@coastalfamilyhealth.org,NULL,(601)-753-2334,(601)-394-2866,NULL,No,N/A,No,N/A,1356444921,251928,This site has a Medicare billing number,8449,Year-Round,Full-Time,Rural,0,(601)-753-2334,26518969,NULL
Section 330,H80,Inactive,44470,H80CS00819,BPS-H80-002853,COMMUNITY MEDICAL-ADULT CLINIC,Administrative/Service Delivery Site,No,Terminated,11/20/14,Permanent,All Other Clinic Types,1/10/05,1/10/05,1/10/05,"401 MCINNIS AVE, LEAKESVILLE, MS 39451-9105",MS-04,"365,393,936,239,367,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",1,Health Center/Applicant,,NULL,N/A,,,NULL,401 MCINNIS AVE,NULL,NULL,LEAKESVILLE,MS,Region IV,Region IV,39451,9105,Greene,1616 WILLIAMS DR,LEAKESVILLE,MS,39451,5622,"Post Office Box 160, Leakesville, MS 39451-0160",NULL,NULL,NULL,NULL, ,160,NULL,Leakesville,MS,39451,160,MS-04,GREENE AREA MEDICAL EXTENDERS,NULL,NULL,NULL,Angel  Greer,(228)-374-2424,,angel_greer@coastalfamilyhealth.org,,(601)-394-5714,(601)-394-5714,,No,N/A,No,N/A,NULL,N/A,NULL,6394,Year-Round,Full-Time,Rural,N/A,(601)-394-6061,26518969,"95,019,502"
Section 330,H80,Inactive,44470,H80CS00819,BPS-H80-002158,School Health Services-Greene County High School Clinic,Service Delivery Site,No,Terminated,1/25/17,Seasonal,School,1/1/00,1/1/00,1/1/00,"4336 HIGH SCHOOL RD, LEAKESVILLE, MS 39451-2584",MS-04,"365,393,936,239,367,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,March - March,May - May,November - November,October - October,September - September",16,Health Center/Applicant,,NULL,0,,,NULL,4336 HIGH SCHOOL RD,NULL,NULL,LEAKESVILLE,MS,Region IV,Region IV,39451,2584,Greene,1616 WILLIAMS DR,LEAKESVILLE,MS,39451,5622,"Post Office Box 160, Leakesville, MS 39451-0160",NULL,NULL,NULL,NULL, ,160,NULL,Leakesville,MS,39451,160,MS-04,GREENE AREA MEDICAL EXTENDERS,NULL,NULL,NULL,Angel  Greer,(228)-374-2424,,angel_greer@coastalfamilyhealth.org,,(601)-394-6830,(601)-394-2866,,No,N/A,No,N/A,1366515470,251923,This site has a Medicare billing number,6687,Year-Round,Full-Time,Rural,0,(601)-394-6831,26518969,"95,019,502"
Section 330,H80,Inactive,44470,H80CS00819,BPS-H80-000482,STATE LINE MEDICAL CENTER,Service Delivery Site,No,Terminated,1/25/17,Permanent,All Other Clinic Types,1/1/87,1/1/87,1/1/87,"52 Kennedy St, State Line, MS 39362",MS-04,"365,393,936,239,367,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,0,,,NULL,52 Kennedy St,NULL,NULL,State Line,MS,Region IV,Region IV,39362,NULL,Wayne,1616 WILLIAMS DR,LEAKESVILLE,MS,39451,5622,"Post Office Box 160, LEAKESVILLE, MS 39451-0160",NULL,NULL,NULL,NULL, ,160,NULL,LEAKESVILLE,MS,39451,160,MS-04,GREENE AREA MEDICAL EXTENDERS,NULL,NULL,NULL,Angel  Greer,(228)-374-2424,,angel_greer@coastalfamilyhealth.org,,(601)-848-7912,(601)-394-2866,,No,N/A,No,N/A,1528161197,251840,This site has a Medicare billing number,4864,Year-Round,Full-Time,Rural,0,(601)-848-7461,26518969,"95,019,502"
Section 330,H80,Inactive,719300,H80CS08757,BPS-H80-008670,Crider Health Center,Administrative/Service Delivery Site,No,Terminated,1/29/16,Permanent,All Other Clinic Types,5/3/93,6/29/09,6/29/09,"1032 Crosswinds Ct, Wentzville, MO 63385-4836",MO-03,63385,"April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,504605312,,,NULL,1032 Crosswinds Ct,NULL,NULL,Wentzville,MO,Region VII,Region VII,63385,4836,St. Charles,1032 Crosswinds Ct,Wentzville,MO,63385,4836,"1032 Crosswinds Ct, Wentzville, MO 63385-4836",NULL,NULL,1032,Crosswinds Ct, ,NULL,NULL,Wentzville,MO,63385,4836,MO-09,"Crider Health Center, Inc.",NULL,NULL,NULL,Laura J Heebner,(636)-332-8306,,lheebner@cridercenter.org,NULL,(636)-332-6000,(636)-332-8300,NULL,Yes,C81CS13521(Created),No,N/A,,261015,This site has a Medicare billing number,13651,Year-Round,Full-Time,Urban,N/A,(636)-332-9950,119049922,3119.03
Section 330,H80,Inactive,719300,H80CS08757,BPS-H80-009282,"Crider Health Center, Inc.",Service Delivery Site,No,Terminated,1/29/16,Permanent,All Other Clinic Types,NULL,1/15/10,3/23/10,"1780 Old Highway 50 East STE 113, Union, MO 63084-3397",MO-03,"630,136,301,463,015,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,NULL,NULL,NULL,NULL,1780 Old Highway 50 East STE 113,NULL,NULL,Union,MO,Region VII,Region VII,63084,3397,Franklin,1032 Crosswinds Ct,Wentzville,MO,63385,4836,"1032 Crosswinds Ct, Wentzville, MO 63385-4836",NULL,NULL,1032,Crosswinds Ct, ,NULL,NULL,Wentzville,MO,63385,4836,MO-09,"Crider Health Center, Inc.",NULL,NULL,NULL,Laura J Heebner,(636)-332-8306,,lheebner@cridercenter.org,NULL,(636)-332-8335,(636)-332-6000,NULL,Yes,"C81CS13521(Created), C81CS13521(Created)",No,N/A,,,Health center does not/will not bill under the FQHC Medicare system at this site,14789,Year-Round,Full-Time,Urban,NULL,NULL,119049922,"8001.00,8002.01,8002.02,8003.00,8004.01,8004.02,8005.00,8006.01,8006.02,8007.01,8007.02,8008.00,8009.00,8010.00,8011.00"
Section 330,H80,Inactive,719300,H80CS08757,BPS-H80-009380,Crider Health Center,Service Delivery Site,No,Terminated,1/29/16,Permanent,All Other Clinic Types,NULL,3/3/10,3/3/10," 1780 Old Highway 50 East  Suite 102 , Union, MO 63084-3397",MO-03,NULL,"April - April,August - August,December - December,February - February,January - January,July - July,June - June,March - March,May - May,November - November,October - October,September - September",40,Health Center/Applicant,,NULL,NULL,NULL,NULL,NULL,1780 Old Highway 50 East  Suite 102,NULL,NULL,Union,MO,Region VII,Region VII,63084,3397,Franklin,1032 Crosswinds Ct,Wentzville,MO,63385,4836,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Crider Health Center, Inc.",NULL,NULL,NULL,Laura J Heebner,(636)-332-8306,,lheebner@cridercenter.org,NULL,(636)-443-3439,(636)-332-8335,NULL,Yes,C81CS13521(Created),No,N/A,,261037,This site has a Medicare billing number,14686,Year-Round,Full-Time,,NULL,NULL,119049922,"8001.00,8002.01,8002.02,8003.00,8004.01,8004.02,8005.00,8006.01,8006.02,8007.01,8007.02,8008.00,8009.00,8010.00,8011.00"
